tweet_id,username,name,creation_date,text,location
1698101757447111146,vocagobonix,Yonat Crewe,Sat Sep 02 22:33:02 +0000 2023,"Canada Wildfires: State of emergency declared - Sky News: * Canada Wildfires: State of emergency declared  Sky News
 * The Race to Save Yellowknife From Raging Wildfires  https://t.co/6QWtXVacMY
 * Guide to evacuation centres and places to stay for NWT… https://t.co/A6VgB4tQKN",Coventry
1697968095589966028,610CKTB,NewsTalk 610 CKTB,Sat Sep 02 13:41:55 +0000 2023,NEWS | N.W.T. officials set to share details about lifting of Yellowknife evacuation order. Details: https://t.co/qEzCoYU50o,"St. Catharines, Ontario"
1697763100957499552,NNSLonline,NNSL Online,Sat Sep 02 00:07:20 +0000 2023,"Yellowknifers will be able to return home Sept. 6.
A notice was published to the City Yellowknife webpage at 5 p.m. Sept. 1. #Yellowknife #NWTwildfires #evacuation 

https://t.co/bEaepgwYp5",Northern Canada
1697765271040053334,danlee863,Dan Lee,Sat Sep 02 00:15:58 +0000 2023,"""Residents of Yellowknife, Ndilǫ, Dettah and the Ingraham Trail will be able to go home starting at noon on Wednesday, three weeks after the territory issued an evacuation order for these communities due to an approaching wildfire.""

https://t.co/Kq7v1Ek4wu",At home in 🇨🇦 & around the🌎
1698051285319053711,Nahendeh_MLA,Shane Thompson,Sat Sep 02 19:12:29 +0000 2023,"This is an exciting step in having our Dettah, Ndilǫ, Yellowknife and Ingraham Trail residents return home safely. I look forward to welcoming residents home once the evacuation orders have been lifted. https://t.co/OeRPDbWIGw",Northwest Territories
1697968386817278361,SusanJoanShirl4,Susan Joan Shirley,Sat Sep 02 13:43:04 +0000 2023,"Well thry probably want their stuff they had to leave fast. Unless the tiwn is about to mysteriously blow up, why keep them out they need to refix the area.  Defiance is not the way though be honest. Convoy plans to defy evacuation order, enter Yellowknife https://t.co/BU1Dqe2iWA","Earth,,, move alot."
1697826846380044437,NStarAdventures,NorthStarAdventures,Sat Sep 02 04:20:38 +0000 2023,"UPDATE: WE CAN GO HOME! Official announcement says the general public can return to #Yellowknife Sep 06! Based on this we can start our #Aurora Hunting tours Sep 07. The evacuation has been devastating for us, now more then ever we need your help we need your bookings to #rebuild https://t.co/lMYR2h1myx","Yellowknife, NT, CANADA"
1698067656736125161,CabinRadio,Cabin Radio,Sat Sep 02 20:17:32 +0000 2023,"The NWT government opened a ""pre-registration"" website for people needing flights back to Yellowknife when the evacuation order lifts.
https://t.co/bzieldGHfC","Yellowknife, NT"
1698135357106331912,GlobalNational,Global National,Sun Sep 03 00:46:33 +0000 2023,N.W.T. officials say start planning now for lifting of Yellowknife evacuation order https://t.co/x3KWZm6Nhc https://t.co/TA4yqjdAez,Watch online
1698297314908000269,CTVNews,CTV News,Sun Sep 03 11:30:07 +0000 2023,N.W.T. officials set to share details about lifting of Yellowknife evacuation order  https://t.co/blLrzZVuyZ,
